Stateid,timeid,dose1,dose2
HR,72,523051.0,318346.0
HR,73,633916.0,336860.0
HR,74,539785.0,349022.0
JH,1,0.0,0.0
JH,2,0.0,0.0
JH,3,0.0,0.0
JH,4,0.0,0.0
JH,5,0.0,0.0
JH,6,0.0,0.0
JH,7,0.0,0.0
JH,8,0.0,0.0
JH,9,0.0,0.0
JH,10,0.0,0.0
JH,11,0.0,0.0
JH,12,0.0,0.0
JH,13,0.0,0.0
JH,14,0.0,0.0
JH,15,0.0,0.0
JH,16,0.0,0.0
JH,17,0.0,0.0
JH,18,0.0,0.0
JH,19,0.0,0.0
JH,20,0.0,0.0
JH,21,0.0,0.0
JH,22,0.0,0.0
JH,23,0.0,0.0
JH,24,0.0,0.0
JH,25,0.0,0.0
JH,26,0.0,0.0
JH,27,0.0,0.0
JH,28,0.0,0.0
JH,29,0.0,0.0
JH,30,0.0,0.0
JH,31,0.0,0.0
JH,32,0.0,0.0
JH,33,0.0,0.0
JH,34,0.0,0.0
JH,35,0.0,0.0
JH,36,0.0,0.0
JH,37,0.0,0.0
JH,38,0.0,0.0
JH,39,0.0,0.0
JH,40,0.0,0.0
JH,41,0.0,0.0
JH,42,0.0,0.0
JH,43,0.0,0.0
JH,44,344.0,0.0
JH,45,3773.0,0.0
